Administrative,Informational,ProductRelated,ExitRates,PageValues,SpecialDay,Month,Region,TrafficType,VisitorType0,VisitorType1,Weekend,Revenue
1,0,13,0.030769231,42.74590431,0.0,11,1,3,0.0,1.0,0,1
0,0,6,0.033333333,63.55337685,0.0,7,4,4,0.0,1.0,1,0
10,3,122,0.022008376,0.0,0.0,12,1,2,0.0,1.0,0,0
7,3,34,0.005128205,77.801588,0.0,12,1,2,0.0,0.0,0,1
12,1,45,0.007154088,21.23244876,0.0,11,9,2,0.0,1.0,0,0
4,2,256,0.0032409640000000003,0.0,0.0,11,1,2,0.0,1.0,0,0
2,0,10,0.045,0.0,0.0,5,7,3,0.0,1.0,0,0
3,2,24,0.014814815,20.13555556,0.0,5,3,2,0.0,1.0,0,1
0,0,1,0.2,0.0,0.6,2,5,1,0.0,1.0,0,0
0,0,31,0.038709677000000005,0.0,0.0,7,1,4,0.0,1.0,0,0
0,0,83,0.019075613999999998,0.0,0.0,11,1,1,0.0,1.0,0,0
3,0,2,0.02,0.0,0.0,7,3,2,0.0,0.0,1,1
3,0,15,0.011764706000000002,0.0,0.0,11,4,11,0.0,1.0,0,0
13,3,41,0.016037736,72.43846009,0.0,12,1,8,0.0,1.0,0,1
1,0,11,0.008333333,0.0,0.0,5,9,2,0.0,0.0,0,0
2,0,5,0.028571429,0.0,0.0,12,9,20,1.0,0.0,0,0
3,0,27,0.031034482999999998,0.0,0.0,12,4,2,0.0,1.0,0,0
4,0,19,0.050877193,0.0,0.6,5,6,13,0.0,1.0,0,0
0,0,14,0.028571429,0.0,0.0,12,3,2,0.0,1.0,1,0
3,0,8,0.046969697000000005,0.0,0.0,11,1,10,0.0,1.0,1,0
0,0,1,0.171428571,0.0,0.0,12,2,1,0.0,1.0,0,0
0,0,15,0.04,0.0,0.0,11,3,10,0.0,1.0,1,0
0,0,1,0.2,0.0,0.0,11,6,13,0.0,1.0,1,0
0,0,9,0.022222222000000003,0.0,0.0,3,1,2,0.0,1.0,1,0
2,0,18,0.045438596,0.0,0.8,5,8,13,0.0,1.0,0,0
7,2,32,0.030226481,11.19263415,0.0,5,1,4,0.0,1.0,0,0
3,0,6,0.035,0.0,0.0,11,3,10,0.0,1.0,1,0
0,0,21,0.014035088000000001,0.0,0.0,5,3,1,0.0,1.0,0,0
1,1,6,0.085714286,0.0,1.0,5,7,2,0.0,1.0,1,0
5,1,117,0.020948132,3.0140255839999996,0.0,11,1,2,0.0,1.0,0,0
5,2,21,0.02183908,0.0,0.0,12,4,2,0.0,0.0,0,0
4,0,10,0.063095238,0.0,0.0,7,7,1,0.0,1.0,0,0
3,0,18,0.010884353999999999,0.0,0.0,7,5,2,0.0,1.0,1,0
1,0,39,0.003070175,0.0,0.0,11,1,11,0.0,1.0,1,1
0,6,27,0.031564383,0.0,0.0,11,7,2,0.0,1.0,0,0
2,0,8,0.025,0.0,0.0,12,1,3,0.0,0.0,0,0
0,0,1,0.2,0.0,0.8,5,1,6,0.0,1.0,0,0
1,0,7,0.05,0.0,0.0,7,1,1,0.0,1.0,0,0
0,0,6,0.022222222000000003,0.0,0.0,8,6,1,0.0,1.0,0,0
6,3,95,0.01068254,16.78420229,0.0,5,5,6,0.0,1.0,0,0
0,0,9,0.011851852,0.0,0.2,2,6,3,0.0,1.0,0,0
0,0,11,0.036363636,0.0,0.0,11,1,3,0.0,1.0,0,0
5,1,66,0.012765306,29.45815149,0.0,3,3,1,0.0,1.0,1,0
3,0,7,0.025,0.0,0.0,3,5,2,0.0,0.0,0,0
0,0,27,0.043518519000000006,0.0,0.8,5,1,3,0.0,1.0,0,0
7,1,37,0.023185941,0.0,0.0,12,2,2,0.0,1.0,0,1
0,0,116,0.020786749,0.0,0.0,11,1,1,0.0,1.0,0,0
11,0,31,0.0325,0.0,0.0,6,2,2,0.0,1.0,0,0
0,0,33,0.015151515,0.0,0.0,11,2,13,0.0,1.0,0,0
1,1,56,0.049396552,0.0,0.6,5,3,6,0.0,1.0,0,0
8,1,18,0.008695652,0.0,0.0,11,7,2,0.0,1.0,0,0
0,0,88,0.023393841000000002,0.0,0.0,11,1,2,0.0,1.0,0,0
2,0,9,0.018181818,0.0,0.0,9,1,5,0.0,1.0,0,0
1,0,12,0.023076923,9.641076923,0.4,5,8,2,0.0,0.0,0,1
0,0,14,0.042857143,0.0,0.0,5,4,3,0.0,1.0,0,0
0,3,164,0.012909664,5.873000789,0.0,12,1,1,0.0,1.0,0,0
0,0,40,0.029795821,0.0,0.0,3,1,2,0.0,1.0,0,0
0,0,3,0.133333333,0.0,0.0,5,4,3,0.0,1.0,0,0
5,0,21,0.008695652,0.0,0.0,9,1,2,0.0,1.0,0,0
0,0,18,0.015686275,0.0,0.0,11,1,2,0.0,0.0,1,0
0,0,60,0.049722222,0.0,0.0,8,2,1,0.0,1.0,0,0
6,0,17,0.022727273,31.99181419,0.0,10,1,2,0.0,1.0,0,1
9,4,132,0.022973065,8.960747931,0.0,11,3,2,0.0,1.0,1,1
4,1,5,0.014814815,0.0,0.0,12,9,3,0.0,1.0,0,0
7,0,11,0.04375,10.02470626,0.0,10,2,1,0.0,1.0,0,0
1,0,7,0.008333333,0.0,0.0,8,7,3,0.0,0.0,0,0
0,0,17,0.02125,33.32796813,0.0,3,3,1,0.0,1.0,0,0
0,0,10,0.022222222000000003,125.961749,0.0,12,1,2,0.0,0.0,0,1
0,0,20,0.025,0.0,0.0,11,3,2,0.0,1.0,0,0
8,3,18,0.0125,0.0,0.0,3,1,3,0.0,1.0,0,0
0,0,8,0.105,0.0,0.0,3,2,10,0.0,1.0,0,0
0,0,38,0.005263158,0.0,0.0,3,4,1,0.0,1.0,1,0
1,0,2,0.0,0.0,0.0,6,9,6,0.0,1.0,0,0
0,0,3,0.1,0.0,0.2,5,2,13,0.0,1.0,0,0
8,0,139,0.044005025999999996,8.304903935,0.0,8,2,1,0.0,1.0,0,0
7,0,125,0.019623016,11.37678683,0.0,5,4,6,0.0,1.0,1,0
0,1,20,0.043809524,10.911244900000002,0.0,7,3,3,0.0,1.0,0,0
9,0,54,0.009409888,1.943058508,0.0,11,1,3,0.0,1.0,1,1
0,0,17,0.009803922,0.0,0.0,11,1,2,0.0,0.0,0,0
0,0,13,0.006060606,0.0,0.0,5,6,2,0.0,0.0,1,0
0,0,2,0.2,0.0,0.0,5,3,3,0.0,1.0,0,0
3,0,15,0.09375,0.0,0.0,3,3,1,0.0,1.0,0,0
6,0,140,0.009952433,21.88856759,0.0,11,3,13,0.0,1.0,0,1
10,0,11,0.002352941,0.0,0.0,8,1,2,0.0,0.0,0,0
2,0,20,0.015,0.0,0.0,5,3,4,0.0,1.0,1,0
5,0,103,0.019613005,0.0,0.0,6,1,2,0.0,1.0,1,0
18,6,106,0.021393867,1.307682317,0.0,11,6,13,0.0,1.0,0,0
2,0,7,0.1125,0.0,0.0,3,3,1,0.0,1.0,0,0
1,1,16,0.006666666999999999,0.0,0.0,5,1,1,0.0,1.0,0,0
0,0,18,0.0125,46.4748023,0.0,11,3,1,0.0,0.0,0,1
3,5,10,0.0025,0.0,0.0,9,5,1,0.0,0.0,0,0
6,0,78,0.006561181,0.0,0.0,11,5,1,0.0,1.0,1,0
8,0,4,0.00952381,0.0,0.0,11,1,8,0.0,0.0,0,0
8,0,48,0.021380952,6.887181233,0.0,10,1,1,0.0,1.0,0,0
6,2,19,0.011794872,28.29538462,1.0,5,1,2,0.0,1.0,1,1
0,0,9,0.022222222000000003,0.0,0.0,5,2,11,0.0,1.0,0,0
1,0,31,0.006666666999999999,0.0,0.0,5,5,2,0.0,1.0,0,0
1,1,79,0.003430424,0.0,0.0,12,3,2,0.0,1.0,0,0
0,8,51,0.015404896000000001,0.0,0.4,5,8,3,0.0,1.0,0,0
0,0,9,0.081481481,0.0,0.0,11,8,10,0.0,1.0,0,0
0,0,10,0.04,0.0,0.0,5,3,3,0.0,1.0,0,0
0,0,2,0.1,0.0,0.0,12,7,2,0.0,1.0,1,0
9,0,19,0.022666667,27.97007005,0.0,12,7,2,0.0,0.0,0,0
0,0,1,0.2,0.0,0.0,7,1,1,0.0,1.0,0,0
12,14,85,0.009959744,34.45943549,0.0,11,1,2,0.0,1.0,1,0
4,0,34,0.018018018,28.11367347,0.0,11,3,1,0.0,1.0,1,1
12,0,7,0.015384615,0.0,0.0,3,3,2,0.0,1.0,0,0
0,0,7,0.033333333,0.0,0.6,5,1,3,0.0,1.0,0,0
3,0,29,0.02,0.0,0.0,9,3,6,0.0,1.0,0,0
2,0,33,0.017142857,0.0,0.6,5,1,3,0.0,1.0,0,0
0,0,5,0.013333333000000001,0.0,0.0,11,7,1,0.0,1.0,0,1
1,0,11,0.016666667,0.0,0.0,7,9,2,0.0,0.0,0,0
6,4,157,0.007018826,31.85608032,0.0,12,3,2,0.0,1.0,0,1
2,0,66,0.038335617999999995,0.0,0.0,12,8,1,0.0,1.0,0,0
5,0,128,0.012517823999999999,3.83397413,0.0,11,2,1,0.0,1.0,1,0
0,0,3,0.066666667,0.0,0.0,12,9,2,0.0,1.0,0,0
9,1,25,0.007692308,0.0,0.0,12,8,2,0.0,0.0,0,0
0,0,28,0.051785714000000004,0.0,0.0,5,1,3,0.0,1.0,1,0
6,2,227,0.020960781,0.0,0.0,11,1,1,0.0,1.0,0,0
0,0,7,0.14285714300000002,0.0,0.8,5,6,13,0.0,1.0,0,0
0,0,8,0.075,0.0,0.0,10,1,1,0.0,0.0,0,0
2,0,46,0.023913043,0.0,0.0,8,4,1,0.0,1.0,0,0
0,0,13,0.030769231,0.0,0.6,5,9,13,0.0,1.0,0,0
2,0,6,0.036709957,24.16451021,0.0,8,1,2,0.0,1.0,0,0
0,0,4,0.025,0.0,0.0,3,1,10,0.0,1.0,0,0
0,0,5,0.14,0.0,0.0,3,3,1,0.0,1.0,0,0
0,1,17,0.05,17.96069044,0.0,11,1,1,0.0,1.0,1,1
3,1,19,0.056818182,8.330574815,0.0,8,4,1,0.0,1.0,0,1
5,0,107,0.017992979,0.0,0.0,11,1,2,0.0,1.0,0,1
0,0,1,0.2,0.0,0.0,12,6,2,0.0,1.0,1,0
0,0,4,0.05,0.0,0.0,12,1,2,0.0,0.0,0,0
18,2,53,0.007692308,0.0,0.0,10,1,2,0.0,1.0,0,0
0,0,12,0.022222222000000003,0.0,0.0,11,1,3,0.0,1.0,0,0
13,1,59,0.004545455,167.23083359999998,0.0,11,4,10,0.0,1.0,1,1
3,0,10,0.011111111000000002,0.0,0.0,5,8,1,0.0,1.0,1,0
5,4,266,0.024720163,0.245152903,0.0,11,4,2,0.0,1.0,1,0
0,0,21,0.018170426,0.0,0.0,11,1,10,0.0,1.0,0,0
5,0,49,0.008595388,0.0,0.0,5,1,2,0.0,1.0,0,0
5,0,85,0.029405769,13.77355814,0.8,5,1,2,0.0,1.0,0,0
0,0,2,0.1,0.0,0.0,12,1,2,0.0,1.0,1,0
0,0,18,0.071428571,0.0,0.0,3,3,1,0.0,1.0,0,0
5,2,385,0.013519938,0.0,0.0,11,3,3,0.0,1.0,0,0
2,0,23,0.05,0.0,0.0,5,7,4,0.0,1.0,1,0
4,0,28,0.016666667,0.0,0.0,7,1,4,0.0,1.0,0,0
3,0,10,0.018181818,0.0,0.0,5,1,11,0.0,1.0,1,0
1,0,11,0.008888889,0.0,0.0,5,4,3,0.0,1.0,0,0
2,0,15,0.007291667,0.0,0.0,11,2,4,0.0,1.0,1,0
1,0,91,0.007912088000000001,33.61787649,0.0,9,2,1,0.0,1.0,0,0
4,3,41,0.006589146999999999,0.0,0.0,3,1,2,0.0,1.0,0,0
2,0,3,0.061111110999999996,0.0,0.0,7,3,3,0.0,1.0,1,1
1,1,12,0.04047619,0.0,0.0,3,9,6,0.0,1.0,1,0
0,0,10,0.06,0.0,0.0,11,1,1,0.0,1.0,1,0
0,0,18,0.05,0.0,0.0,3,9,1,0.0,1.0,0,0
3,0,11,0.012727273,0.0,0.0,12,3,1,0.0,1.0,1,0
14,5,168,0.018670927,11.71746761,0.0,7,3,1,0.0,1.0,0,0
6,0,25,0.010222222,10.58098677,0.0,11,3,8,0.0,1.0,1,1
6,0,71,0.014003044,0.0,0.0,12,9,2,0.0,1.0,0,0
0,0,25,0.024,0.0,0.0,3,3,11,0.0,1.0,0,0
0,0,4,0.016666667,0.0,0.0,11,8,2,0.0,0.0,0,1
1,0,17,0.00625,9.836358025,0.0,11,5,2,0.0,0.0,0,1
0,0,10,0.026666667,0.0,0.0,12,7,2,0.0,0.0,0,0
1,0,50,0.004,153.44324780000002,0.0,3,7,8,0.0,1.0,1,1
0,0,7,0.057142857000000005,56.57877343,0.0,11,1,3,0.0,1.0,0,1
0,0,1,0.2,0.0,0.0,3,1,3,0.0,1.0,0,0
0,0,22,0.026060606,0.0,1.0,5,4,3,0.0,1.0,1,0
0,0,19,0.091666667,0.0,0.0,11,1,11,0.0,1.0,0,0
0,0,8,0.028571429,44.56114286,0.6,5,9,5,0.0,1.0,0,1
4,0,9,0.018181818,0.0,0.0,12,1,1,0.0,1.0,1,0
0,0,1,0.2,0.0,0.0,5,4,4,0.0,1.0,0,0
0,0,23,0.024637681,0.0,0.0,12,1,2,0.0,0.0,0,0
0,0,16,0.025,0.0,0.0,3,2,2,0.0,1.0,0,0
0,0,5,0.14,0.0,0.0,11,1,10,0.0,1.0,1,0
0,0,7,0.057142857000000005,0.0,0.0,5,1,5,0.0,0.0,0,0
1,0,16,0.033333333,13.28355556,0.0,3,4,2,0.0,1.0,0,1
5,2,15,0.037301587000000004,0.0,0.0,11,4,2,0.0,1.0,1,1
1,3,40,0.023436807,0.0,0.0,12,4,2,0.0,1.0,0,0
0,0,11,0.018181818,0.0,0.0,11,1,11,0.0,1.0,1,0
0,0,7,0.085714286,0.0,0.0,11,9,10,0.0,1.0,1,0
6,0,8,0.014285714,12.15713406,0.0,9,1,4,0.0,1.0,0,0
4,0,21,0.011041667,0.0,0.0,3,2,8,0.0,0.0,1,0
0,0,7,0.060714286,0.0,0.0,3,1,3,0.0,1.0,0,0
2,0,13,0.026666667,0.0,0.0,5,4,3,0.0,0.0,1,0
0,0,2,0.1,0.0,0.0,12,4,3,0.0,1.0,0,0
0,0,7,0.033333333,0.0,0.0,12,1,2,0.0,1.0,1,0
